"Animat","Lifespan","Location x","Location y","Teacher","Reached end"
"Day: 0"
"70","9","11","18","false","false"
"71","9","11","18","false","false"
"72","9","8","19","false","false"
"73","9","11","18","false","false"
"74","9","7","18","false","false"
"75","9","11","16","false","false"
"76","9","8","17","false","false"
"77","9","11","18","false","false"
"78","9","12","15","false","false"
"79","9","11","18","false","false"
"80","9","8","17","false","false"
"81","9","11","16","false","false"
"82","9","10","17","false","false"
"Day: 9"
"0","10","10","16","true","false"
"1","10","11","19","true","false"
"2","10","9","13","true","false"
"3","10","6","16","true","false"
"4","10","10","16","true","false"
"5","10","6","18","true","false"
"6","10","9","17","true","false"
"7","10","11","17","true","false"
"8","10","13","17","true","false"
"9","10","8","18","true","false"
"10","10","13","17","true","false"
"11","10","9","17","true","false"
"12","10","13","17","true","false"
"13","10","11","17","true","false"
"14","10","12","18","true","false"
"15","10","6","16","true","false"
"16","10","14","18","true","false"
"17","10","10","18","false","false"
"18","10","7","15","false","false"
"19","10","9","17","false","false"
"20","10","9","15","false","false"
"21","10","3","17","false","false"
"22","10","7","15","false","false"
"23","10","5","17","false","false"
"24","10","12","18","false","false"
"25","10","14","16","false","false"
"26","10","7","19","false","false"
"27","10","11","17","false","false"
"28","10","8","16","false","false"
"29","10","14","18","false","false"
"30","10","8","18","false","false"
"31","10","10","18","false","false"
"32","10","13","15","false","false"
"33","10","8","16","false","false"
"34","10","13","17","false","false"
"35","10","11","15","false","false"
"36","10","8","16","false","false"
"37","10","12","18","false","false"
"38","10","11","17","false","false"
"39","10","11","17","false","false"
"40","10","9","17","false","false"
"41","10","10","18","false","false"
"42","10","10","18","false","false"
"43","10","12","16","false","false"
"44","10","12","18","false","false"
"45","10","9","17","false","false"
"46","10","13","13","false","false"
"47","10","10","16","false","false"
"48","10","9","19","false","false"
"49","10","9","19","false","false"
"50","10","13","15","false","false"
"51","10","10","16","false","false"
"52","10","12","18","false","false"
"53","10","12","16","false","false"
"54","10","11","17","false","false"
"55","10","10","18","false","false"
"56","10","7","17","false","false"
"57","10","12","18","false","false"
"58","10","14","18","false","false"
"59","10","9","17","false","false"
"60","10","10","16","false","false"
"61","10","10","16","false","false"
"62","10","7","17","false","false"
"63","10","11","15","false","false"
"64","10","9","19","false","false"
"65","10","12","20","false","false"
"66","10","10","16","false","false"
"67","10","11","17","false","false"
"68","10","14","16","false","false"
"69","10","7","17","false","false"
"70","10","12","18","false","false"
"71","10","12","18","false","false"
"72","10","7","19","false","false"
"73","10","10","18","false","false"
"74","10","6","18","false","false"
"75","10","10","16","false","false"
"76","10","8","16","false","false"
"77","10","12","18","false","false"
"78","10","12","14","false","false"
"79","10","12","18","false","false"
"80","10","8","16","false","false"
"81","10","10","16","false","false"
"82","10","9","17","false","false"
"Day: 10"
"0","11","9","16","true","false"
"1","11","11","18","true","false"
"2","11","10","13","true","false"
"3","11","7","16","true","false"
"4","11","10","15","true","false"
"5","11","6","17","true","false"
"6","11","9","16","true","false"
"7","11","11","16","true","false"
"8","11","12","17","true","false"
"9","11","9","18","true","false"
"10","11","14","17","true","false"
"11","11","9","16","true","false"
"12","11","12","17","true","false"
"13","11","12","17","true","false"
"14","11","13","18","true","false"
"15","11","7","16","true","false"
"16","11","15","18","true","false"
"17","11","11","18","false","false"
"18","11","6","15","false","false"
"19","11","10","17","false","false"
"20","11","9","14","false","false"
"21","11","4","17","false","false"
"22","11","9","13","false","false"
"23","11","5","16","false","false"
"24","11","11","18","false","false"
"25","11","14","15","false","false"
"26","11","6","19","false","false"
"27","11","11","16","false","false"
"28","11","9","16","false","false"
"29","11","14","17","false","false"
"30","11","9","18","false","false"
"31","11","10","17","false","false"
"32","11","14","15","false","false"
"33","11","8","15","false","false"
"34","11","13","16","false","false"
"35","11","11","14","false","false"
"36","11","7","16","false","false"
"37","11","11","18","false","false"
"38","11","10","17","false","false"
"39","11","12","17","false","false"
"40","11","10","17","false","false"
"41","11","9","18","false","false"
"42","11","9","18","false","false"
"43","11","13","16","false","false"
"44","11","11","18","false","false"
"45","11","9","16","false","false"
"46","11","12","13","false","false"
"47","11","11","16","false","false"
"48","11","10","19","false","false"
"49","11","8","19","false","false"
"50","11","13","14","false","false"
"51","11","10","15","false","false"
"52","11","11","18","false","false"
"53","11","11","16","false","false"
"54","11","10","17","false","false"
"55","11","10","17","false","false"
"56","11","7","16","false","false"
"57","11","12","17","false","false"
"58","11","13","18","false","false"
"59","11","8","17","false","false"
"60","11","9","16","false","false"
"61","11","11","16","false","false"
"62","11","8","17","false","false"
"63","11","12","15","false","false"
"64","11","8","19","false","false"
"65","11","12","19","false","false"
"66","11","9","16","false","false"
"67","11","12","17","false","false"
"68","11","13","16","false","false"
"69","11","8","17","false","false"
"70","11","11","18","false","false"
"71","11","13","18","false","false"
"72","11","7","18","false","false"
"73","11","11","18","false","false"
"74","11","6","17","false","false"
"75","11","10","15","false","false"
"76","11","8","15","false","false"
"77","11","13","18","false","false"
"78","11","12","13","false","false"
"79","11","11","18","false","false"
"80","11","8","15","false","false"
"81","11","9","16","false","false"
"82","11","9","16","false","false"
"Day: 11"
"0","12","9","15","true","false"
"1","12","10","18","true","false"
"2","12","9","13","true","false"
"3","12","8","16","true","false"
"4","12","9","15","true","false"
"5","12","5","17","true","false"
"6","12","10","16","true","false"
"7","12","10","16","true","false"
"8","12","11","17","true","false"
"9","12","10","18","true","false"
"10","12","15","17","true","false"
"11","12","8","16","true","false"
"12","12","13","17","true","false"
"13","12","11","17","true","false"
"14","12","13","17","true","false"
"15","12","8","16","true","false"
"16","12","16","18","true","false"
"17","12","11","17","false","false"
"18","12","6","14","false","false"
"19","12","10","16","false","false"
"20","12","10","14","false","false"
"21","12","4","16","false","false"
"22","12","10","13","false","false"
"23","12","4","16","false","false"
"24","12","10","18","false","false"
"25","12","14","14","false","false"
"26","12","6","18","false","false"
"27","12","10","16","false","false"
"28","12","10","16","false","false"
"29","12","15","17","false","false"
"30","12","10","18","false","false"
"31","12","11","17","false","false"
"32","12","14","14","false","false"
"33","12","7","15","false","false"
"34","12","13","15","false","false"
"35","12","12","14","false","false"
"36","12","6","16","false","false"
"37","12","12","18","false","false"
"38","12","10","16","false","false"
"39","12","12","16","false","false"
"40","12","11","17","false","false"
"41","12","9","17","false","false"
"42","12","10","18","false","false"
"43","12","13","15","false","false"
"44","12","12","18","false","false"
"45","12","8","16","false","false"
"46","12","11","13","false","false"
"47","12","10","16","false","false"
"48","12","10","18","false","false"
"49","12","8","18","false","false"
"50","12","13","13","false","false"
"51","12","11","15","false","false"
"52","12","12","18","false","false"
"53","12","11","15","false","false"
"54","12","10","16","false","false"
"55","12","11","17","false","false"
"56","12","6","16","false","false"
"57","12","13","17","false","false"
"58","12","13","17","false","false"
"59","12","9","17","false","false"
"60","12","8","16","false","false"
"61","12","12","16","false","false"
"62","12","8","16","false","false"
"63","12","12","14","false","false"
"64","12","8","18","false","false"
"65","12","11","19","false","false"
"66","12","9","15","false","false"
